,"Centro Comercial El Carmen, Cruz Verde N° 359, Cusco 08000","Coripata, Cusco","Parque Umanchata, Bayoneta 890, Cusco 08002","Pje. Esmeralda, Cusco","Urb Manco Capac, Cusco 08007","Asoc Miraflores, Cusco 08001","P.j Dignidad Nacional, Cusco 08001","Asociación Qosqo Maki, C. Fierro 525, Cusco 08002","Siete Mascarones, Cusco 08001","Urb. Santa Teresa, Cusco 08002"
"Centro Comercial El Carmen, Cruz Verde N° 359, Cusco 08000",0,0.85,1.1,0.9,3.6,3.7,2.1,0.95,0.85,4.6
"Coripata, Cusco",0.85,0,1.7,2.5,3.5,5.2,1.4,2.2,0.7,5.1
"Parque Umanchata, Bayoneta 890, Cusco 08002",1.1,1.7,0,2.6,4.5,3.8,1.9,0.75,1.2,6.1
"Pje. Esmeralda, Cusco",0.9,2.5,2.6,0,3.3,5.5,1.8,2.1,1.1,4.4
"Urb Manco Capac, Cusco 08007",3.6,3.5,4.5,3.3,0,8.2,4.4,5,3.9,4.6
"Asoc Miraflores, Cusco 08001",3.7,5.2,3.8,5.5,8.2,0,4.4,4.3,4.1,9.4
"P.j Dignidad Nacional, Cusco 08001",2.1,1.4,1.9,1.8,4.4,4.4,0,2.5,1.2,5.8
"Asociación Qosqo Maki, C. Fierro 525, Cusco 08002",0.95,2.2,0.75,2.1,5,4.3,2.5,0,1.2,5.7
"Siete Mascarones, Cusco 08001",0.85,0.7,1.2,1.1,3.9,4.1,1.2,1.2,0,5.2
"Urb. Santa Teresa, Cusco 08002",4.6,5.1,6.1,4.4,4.6,9.4,5.8,5.7,5.2,0
